,turbulence_level,turbulence_threshold,is_above_threshold
20171003,92.34061059219984,140,False
20171004,89.02829735156271,140,False
20171005,88.43761418611479,140,False
20171006,84.65042743699873,140,False
20171009,85.92901195042677,140,False
20171010,84.00416246977052,140,False
20171011,88.28492129982874,140,False
20171012,85.51354598669498,140,False
20171013,84.82932480454217,140,False
20171016,71.59787900228756,140,False
20171017,69.96874497837595,140,False
20171018,69.29528908030574,140,False
20171019,79.33461596489099,140,False
20171020,97.42276699118534,140,False
20171023,112.22835757275637,140,False
20171024,124.96193473729376,140,False
20171025,133.34122043347642,140,False
20171026,111.748984265261,140,False
20171027,143.6767806014717,140,True
20171030,146.2826862940536,140,True
20171031,128.18018583064426,140,False
20171101,131.80158894032877,140,False
20171102,136.2764672638287,140,False
20171103,117.58953995950381,140,False
20171106,118.54625932248298,140,False
20171107,114.22437027207285,140,False
20171108,106.54765774247242,140,False
20171109,106.40745687051071,140,False
20171110,114.45433624779704,140,False
20171113,106.4555296442467,140,False
20171114,106.00795702356392,140,False
20171115,94.16968615190943,140,False
20171116,141.2622366183945,140,True
20171117,128.91648791086013,140,False
20171120,130.9331624993652,140,False
20171121,118.67856070939031,140,False
20171122,103.430984713795,140,False
20171124,99.73365753819157,140,False
20171127,99.91046337648727,140,False
20171128,96.84861769567458,140,False
20171129,113.0627522405544,140,False
20171130,104.84288929280895,140,False
20171201,101.12423787841352,140,False
20171204,114.56550203003763,140,False
20171205,97.14995999935309,140,False
20171206,85.70456028186369,140,False
20171207,87.04726547795883,140,False
20171208,88.31999221151085,140,False
20171211,87.61184379906427,140,False
20171212,88.073257391471,140,False
20171213,101.75084422014784,140,False
20171214,99.85778075012834,140,False
20171215,93.42036886807598,140,False
20171218,90.29691362136258,140,False
20171219,94.12086956068786,140,False
20171220,97.3981833835898,140,False
20171221,97.89687195202606,140,False
20171222,92.33932016995772,140,False
20171226,99.77024127089798,140,False
20171227,93.69605786349014,140,False
20171228,87.85868496275478,140,False
20171229,84.53317349045629,140,False
20180102,87.99716472260265,140,False
