datadate,account_values
20160705,1135056.1048120926
20160706,1134267.0087345794
20160707,1130993.9102774346
20160708,1145517.4863656773
20160711,1148703.1499019912
20160712,1153266.5411211986
20160713,1156384.534741046
20160714,1166439.1530918968
20160715,1165462.4621438943
20160718,1164639.900804968
20160719,1167061.6747426637
20160720,1170172.2769800234
20160721,1162366.5238631796
20160722,1162392.2471014983
20160725,1159894.0656990006
20160726,1164427.6695271963
20160727,1163100.2056129223
20160728,1157662.3229550668
20160729,1159264.4804940561
20160801,1157977.6772368336
20160802,1152510.0693014555
20160803,1153687.2155220709
20160804,1152823.1122121986
20160805,1162547.2424119199
20160808,1162416.6558350618
20160809,1162564.4434301935
20160810,1164354.4051271374
20160811,1172725.1020622395
20160812,1170438.0916590313
20160815,1174750.92179477
20160816,1167862.599935514
20160817,1169657.2762015928
20160818,1168223.975832554
20160819,1167781.0191385725
20160822,1165607.0802016903
20160823,1166027.0413946398
20160824,1161012.5456143518
20160825,1157912.5040829822
20160826,1155561.5192414774
20160829,1164161.033150923
20160830,1161051.0018075781
20160831,1157262.1996145668
20160901,1160077.038992905
20160902,1165309.3173830714
20160906,1165695.8267732658
20160907,1166921.9756906494
20160908,1170195.120945781
20160909,1143485.0612274779
20160912,1157336.0837496095
20160913,1141986.3016513898
20160914,1136799.1410323821
20160915,1145673.410414889
20160916,1140571.321319663
20160919,1141030.9500936193
20160920,1142390.6423343779
20160921,1154928.0200140702
20160922,1162592.1412356065
20160923,1153696.3583598675
20160926,1142606.5736198039
20160927,1149753.207697653
20160928,1155416.9043174828
20160929,1141481.6778396028
20160930,1151162.6452327177
