datadate,account_values
20160405,1078581.4364937982
20160406,1086206.9709232147
20160407,1075771.9457260845
20160408,1077600.8186164522
20160411,1076957.5294480582
20160412,1085903.6466264748
20160413,1097838.4463911378
20160414,1099363.974608271
20160415,1098534.4671337502
20160418,1103419.9963722096
20160419,1108097.9782710816
20160420,1114246.2951351264
20160421,1109918.2944720616
20160422,1108834.8331719278
20160425,1106875.2997093608
20160426,1105931.9355402011
20160427,1108870.1010385891
20160428,1099790.2516653878
20160429,1094864.7253136567
20160502,1102548.4285990177
20160503,1100078.21083312
20160504,1092945.925878869
20160505,1093047.2333730585
20160506,1092340.0531368724
20160509,1093741.9927363943
20160510,1103738.926014102
20160511,1094520.578474635
20160512,1092211.1833880506
20160513,1081829.068413413
20160516,1091268.1190831987
20160517,1078632.6205128368
20160518,1080962.816158358
20160519,1073143.8409966198
20160520,1077337.4336669897
20160523,1076582.9563345877
20160524,1090552.106996251
20160525,1099068.867900025
20160526,1093883.3685203905
20160527,1096907.831195336
20160531,1095512.076136241
20160601,1099307.7751706792
20160602,1105685.0683445567
20160603,1105127.412015092
20160606,1114024.2778724395
20160607,1114506.6688958853
20160608,1123301.761411097
20160609,1121071.4276600778
20160610,1120921.1014219937
20160613,1118128.9063181442
20160614,1116826.880260948
20160615,1111661.8581290618
20160616,1118592.9606684174
20160617,1113115.405124391
20160620,1121717.0231115688
20160621,1122702.1608011061
20160622,1122069.4355925329
20160623,1137510.7190934743
20160624,1101820.6001914742
20160627,1086601.7259187617
20160628,1102729.0398993855
20160629,1123386.0963586702
20160630,1138145.9268862419
20160701,1137585.3924915695
