,turbulence_level,turbulence_threshold,is_above_threshold
20180405,70.92659567532112,140,False
20180406,67.36448543866231,140,False
20180409,74.22881551502009,140,False
20180410,72.53754451435174,140,False
20180411,69.4666256388708,140,False
20180412,77.56369745760172,140,False
20180413,71.62451327353453,140,False
20180416,73.1639992218251,140,False
20180417,85.3468734911544,140,False
20180418,95.35101280307713,140,False
20180419,105.31297930641655,140,False
20180420,106.76363656577887,140,False
20180423,115.41645728711724,140,False
20180424,142.74279295480684,140,True
20180425,128.67622176450013,140,False
20180426,151.51787090250934,140,True
20180427,169.34462082106867,140,True
20180430,144.55417836428674,140,True
20180501,136.9782713189025,140,False
20180502,137.59560300932702,140,False
20180503,122.69249973000008,140,False
20180504,107.73422705404728,140,False
20180507,103.64608975253002,140,False
20180508,104.97799230968359,140,False
20180509,110.46910717487681,140,False
20180510,103.46060160174062,140,False
20180511,104.31087532895077,140,False
20180514,99.18444119387014,140,False
20180515,94.61815413740669,140,False
20180516,101.04085276645873,140,False
20180517,92.422052766729,140,False
20180518,92.73557288904234,140,False
20180521,94.31502906060028,140,False
20180522,92.97081857195398,140,False
20180523,90.37260621396996,140,False
20180524,85.7450725930968,140,False
20180525,86.85154691040285,140,False
20180529,93.52299104495165,140,False
20180530,86.1744134395637,140,False
20180531,85.74698646479959,140,False
20180601,85.68544857477198,140,False
20180604,89.06127679542894,140,False
20180605,89.73063407111698,140,False
20180606,89.27638047721459,140,False
20180607,82.1383987667869,140,False
20180608,82.82671344466894,140,False
20180611,93.55343660090601,140,False
20180612,95.14543250838352,140,False
20180613,83.6853828267252,140,False
20180614,89.9528763241602,140,False
20180615,84.37092126767494,140,False
20180618,92.53728785538016,140,False
20180619,82.9283277519003,140,False
20180620,88.4277314908169,140,False
20180621,91.17917444580169,140,False
20180622,88.15391466027286,140,False
20180625,87.55174408481804,140,False
20180626,91.77869514663747,140,False
20180627,95.90178111855364,140,False
20180628,91.85953441175864,140,False
20180629,115.96824400324837,140,False
20180702,99.65395867674408,140,False
20180703,92.46587959355999,140,False
