,turbulence_level,turbulence_threshold,is_above_threshold
20160705,67.63861829200799,140,False
20160706,71.09344172593141,140,False
20160707,66.45818590725371,140,False
20160708,59.2521588615419,140,False
20160711,57.58160011199511,140,False
20160712,57.0970601863275,140,False
20160713,54.318306267351325,140,False
20160714,58.05382743545715,140,False
20160715,54.180988633866946,140,False
20160718,53.14913660024068,140,False
20160719,58.68659527742652,140,False
20160720,64.01137045453783,140,False
20160721,63.87588551523144,140,False
20160722,60.0914829204776,140,False
20160725,63.30564201544472,140,False
20160726,80.62259909342778,140,False
20160727,92.18434751304387,140,False
20160728,87.23579452677927,140,False
20160729,95.34452388216579,140,False
20160801,105.8326944498104,140,False
20160802,85.60212619295154,140,False
20160803,76.16570829812275,140,False
20160804,73.19669573467509,140,False
20160805,70.56293108728367,140,False
20160808,63.71944954145055,140,False
20160809,59.75253938115552,140,False
20160810,58.19450426600207,140,False
20160811,59.346280204195615,140,False
20160812,56.047850535064754,140,False
20160815,56.837678171842356,140,False
20160816,53.7040845878308,140,False
20160817,53.070426800433715,140,False
20160818,50.602510370001234,140,False
20160819,58.90795422029969,140,False
20160822,59.843431204590786,140,False
20160823,60.68238110593337,140,False
20160824,59.20760040093237,140,False
20160825,52.901037031657495,140,False
20160826,55.7185177640374,140,False
20160829,52.961155731124705,140,False
20160830,49.80362925880378,140,False
20160831,46.03834617347679,140,False
20160901,52.34211755017042,140,False
20160902,50.575922252598865,140,False
20160906,54.34451472759324,140,False
20160907,60.21894260974562,140,False
20160908,63.34852306633192,140,False
20160909,56.84946591830376,140,False
20160912,61.29270117219714,140,False
20160913,59.941020909025234,140,False
20160914,58.42913257616334,140,False
20160915,63.466487639599116,140,False
20160916,72.78187109127067,140,False
20160919,69.427748808976,140,False
20160920,67.77565619125764,140,False
20160921,65.86896615667476,140,False
20160922,66.65639605905642,140,False
20160923,61.126967224551315,140,False
20160926,62.51385702994778,140,False
20160927,57.77063370106089,140,False
20160928,71.19167592451757,140,False
20160929,71.06745902394,140,False
20160930,71.74340065180999,140,False
