datadate,account_values
20191004,1399670.843957217
20191007,1397195.490930555
20191008,1386702.0295959373
20191009,1395800.7725452248
20191010,1405247.8447353186
20191011,1419696.548981931
20191014,1418028.4120049041
20191015,1429593.00182945
20191016,1425985.8622314136
20191017,1420414.2712901216
20191018,1413057.6231634489
20191021,1426505.5116737117
20191022,1425079.0061620376
20191023,1425079.0061620376
20191024,1425079.0061620376
20191025,1425079.0061620376
20191028,1425079.0061620376
20191029,1425079.0061620376
20191030,1425079.0061620376
20191031,1424311.3251620377
20191101,1427720.196162038
20191104,1429558.2551620381
20191105,1429540.629162038
20191106,1429802.9531620378
20191107,1439005.181162038
20191108,1440175.2572913906
20191111,1433383.1567437134
20191112,1434354.255934404
20191113,1435246.815367505
20191114,1429014.262057995
20191115,1442052.5889351026
20191118,1441481.825722233
20191119,1439224.1235442366
20191120,1428189.4949361265
20191121,1433148.767270772
20191122,1436004.038262909
20191125,1449963.2490693284
20191126,1447721.6595072143
20191127,1450203.2407419737
20191129,1445356.4082211808
20191202,1429734.738979338
20191203,1412819.4272568806
20191204,1421517.5464497954
20191205,1426366.3132492683
20191206,1448060.7414387928
20191209,1442244.7879510017
20191210,1441861.1319987555
20191211,1447048.042796153
20191212,1466232.298913229
20191213,1465497.9174203454
20191216,1477177.056402625
20191217,1478385.47020781
20191218,1476549.2718735582
20191219,1481623.2385517536
20191220,1488295.812920695
20191223,1495157.3222600464
20191224,1493838.309334898
20191226,1504603.9267247128
20191227,1504503.8194986198
20191230,1496568.3332716872
20191231,1502632.4396873382
20200102,1527139.582099344
20200103,1512049.609302994
