datadate,account_values
20180705,1375418.7306994142
20180706,1379003.5030675782
20180709,1399847.362298328
20180710,1403474.5338069133
20180711,1393762.6286046351
20180712,1403374.9761365098
20180713,1406139.8181658303
20180716,1415090.1312473172
20180717,1420888.2406715958
20180718,1420781.0714555548
20180719,1420104.895292182
20180720,1420502.9487855062
20180723,1421780.6876249122
20180724,1428648.6751983438
20180725,1435040.3919522567
20180726,1437649.4693224768
20180727,1426924.2864633938
20180730,1425980.8858793976
20180731,1429245.3308677648
20180801,1421243.4138200467
20180802,1419344.5279081182
20180803,1427617.7600694979
20180806,1428087.9514494045
20180807,1437544.375081029
20180808,1438848.8636433468
20180809,1434962.0187796117
20180810,1424450.0008218202
20180813,1410476.0155914146
20180814,1411417.3282540308
20180815,1407760.9265002687
20180816,1426656.93317148
20180817,1429205.9834383952
20180820,1441198.3406064797
20180821,1447287.1011653459
20180822,1443829.1531078224
20180823,1442805.0573148192
20180824,1448383.3757588249
20180827,1457149.3531993413
20180828,1457728.2362800143
20180829,1460590.8225971693
20180830,1450068.7807338582
20180831,1453174.1498622552
20180904,1454207.4024906247
20180905,1460733.538746165
20180906,1463719.588076516
20180907,1467043.8892502338
20180910,1479216.5653119911
20180911,1491244.8028506564
20180912,1484242.988054884
20180913,1480918.2812283789
20180914,1479095.3374214056
20180917,1478944.3171760894
20180918,1491932.3722150126
20180919,1500978.5335009147
20180920,1508864.1558600115
20180921,1515288.9300000335
20180924,1499584.2725278782
20180925,1495989.5796785906
20180926,1491012.273545545
20180927,1490189.2978663421
20180928,1487245.7553869789
20181001,1494312.509831391
20181002,1490771.571508111
