,turbulence_level,turbulence_threshold,is_above_threshold
20170404,49.10721019522246,140,False
20170405,49.439711549682464,140,False
20170406,52.33108709279389,140,False
20170407,52.19082859509943,140,False
20170410,54.91620828468797,140,False
20170411,53.67603151936991,140,False
20170412,46.411294091861436,140,False
20170413,50.38002668991272,140,False
20170417,50.395678169676984,140,False
20170418,44.83429742188606,140,False
20170419,44.14912701203778,140,False
20170420,49.86527873905557,140,False
20170421,61.38419115738096,140,False
20170424,66.4628647042387,140,False
20170425,90.5404450348221,140,False
20170426,90.59649548070529,140,False
20170427,92.85123769944315,140,False
20170428,95.6818048603996,140,False
20170501,97.98512235152212,140,False
20170502,95.11534645748915,140,False
20170503,92.53420749002436,140,False
20170504,92.94402169162512,140,False
20170505,91.47895222663963,140,False
20170508,96.39234001081408,140,False
20170509,101.34898886487358,140,False
20170510,100.08321884188963,140,False
20170511,93.48933562213232,140,False
20170512,97.75144423971079,140,False
20170515,109.03183228178848,140,False
20170516,120.03468837545824,140,False
20170517,104.71245334146198,140,False
20170518,103.7508106206997,140,False
20170519,102.27287990287545,140,False
20170522,94.42156986257262,140,False
20170523,92.54435132559216,140,False
20170524,96.53007560740593,140,False
20170525,94.47730793808212,140,False
20170526,85.72197409275296,140,False
20170530,82.03090703201926,140,False
20170531,77.93345985589558,140,False
20170601,78.95409695525524,140,False
20170602,82.81409836040119,140,False
20170605,81.08256167334964,140,False
20170606,74.95251054193744,140,False
20170607,71.03329623558274,140,False
20170608,70.66565391129897,140,False
20170609,64.06401310054822,140,False
20170612,58.043372599269894,140,False
20170613,64.21393814648711,140,False
20170614,65.99448036779066,140,False
20170615,69.46110882222237,140,False
20170616,84.00044275738244,140,False
20170619,72.59915777204675,140,False
20170620,78.34329734395432,140,False
20170621,77.11464696954887,140,False
20170622,82.88438206115974,140,False
20170623,88.40146210890622,140,False
20170626,79.65721402664522,140,False
20170627,71.79716767876687,140,False
20170628,72.09962464788852,140,False
20170629,70.58890226759729,140,False
20170630,86.12142369689306,140,False
20170703,83.12790064338049,140,False
