datadate,account_values
20200406,1416881.8934805496
20200407,1416881.8934805496
20200408,1416881.8934805496
20200409,1416881.8934805496
20200413,1416881.8934805496
20200414,1416881.8934805496
20200415,1416881.8934805496
20200416,1416881.8934805496
20200417,1416881.8934805496
20200420,1416881.8934805496
20200421,1416881.8934805496
20200422,1416881.8934805496
20200423,1416881.8934805496
20200424,1416881.8934805496
20200427,1416881.8934805496
20200428,1416881.8934805496
20200429,1416881.8934805496
20200430,1416881.8934805496
20200501,1416881.8934805496
20200504,1416881.8934805496
20200505,1416881.8934805496
20200506,1416881.8934805496
20200507,1416881.8934805496
20200508,1416881.8934805496
20200511,1416881.8934805496
20200512,1416881.8934805496
20200513,1416881.8934805496
20200514,1416881.8934805496
20200515,1416881.8934805496
20200518,1416881.8934805496
20200519,1416881.8934805496
20200520,1419873.4649805492
20200521,1419655.3299805492
20200522,1420075.836980549
20200526,1425373.206480549
20200527,1437332.818480549
20200528,1433522.3704805488
20200529,1434701.318980549
20200601,1437297.4869805488
20200602,1448857.122591091
20200603,1469233.9088361142
20200604,1460530.9596497896
20200605,1502470.7784809975
20200608,1525359.3251431738
20200609,1514059.6090348447
20200610,1501820.9742848978
20200611,1413888.659934934
20200612,1432649.1939173494
20200615,1443887.1512259094
20200616,1470566.0293118043
20200617,1469095.463282493
20200618,1468333.1402824933
20200619,1468106.3522824927
20200622,1469896.7192824925
20200623,1469670.0712824925
20200624,1469670.0712824925
20200625,1471313.9082824925
20200626,1471088.8782824927
20200629,1471088.8782824927
20200630,1471088.8782824927
20200701,1471088.8782824927
20200702,1471088.8782824927
20200706,1471088.8782824927
