datadate,account_values
20190405,1430782.5055827035
20190408,1430782.5055827035
20190409,1430782.5055827035
20190410,1430782.5055827035
20190411,1430782.5055827035
20190412,1430782.5055827035
20190415,1430782.5055827035
20190416,1430782.5055827035
20190417,1430782.5055827035
20190418,1430782.5055827035
20190422,1430782.5055827035
20190423,1430782.5055827035
20190424,1430782.5055827035
20190425,1430782.5055827035
20190426,1430782.5055827035
20190429,1430782.5055827035
20190430,1430782.5055827035
20190501,1430782.5055827035
20190502,1430782.5055827035
20190503,1430782.5055827035
20190506,1430782.5055827035
20190507,1430782.5055827035
20190508,1430782.5055827035
20190509,1430782.5055827035
20190510,1430782.5055827035
20190513,1430782.5055827035
20190514,1430782.5055827035
20190515,1430782.5055827035
20190516,1430782.5055827035
20190517,1430782.5055827035
20190520,1430782.5055827035
20190521,1430782.5055827035
20190522,1430782.5055827035
20190523,1430782.5055827035
20190524,1430850.826582703
20190528,1427228.8935827038
20190529,1421239.6785827037
20190530,1421257.3985827037
20190531,1407225.0685827038
20190603,1406327.2685827035
20190604,1410475.2525827035
20190605,1412152.9085827037
20190606,1417643.6335827038
20190607,1425500.4665827039
20190610,1430311.288582704
20190611,1435707.1105827042
20190612,1430490.001582704
20190613,1431402.767335432
20190614,1427503.2501170863
20190617,1424879.7382271467
20190618,1446901.7867794978
20190619,1447478.0581883672
20190620,1459756.2979516182
20190621,1457818.541376147
20190624,1458667.7447047739
20190625,1450313.988155964
20190626,1451904.1865751124
20190627,1453072.2252520167
20190628,1459485.4591135352
20190701,1468214.0242159558
20190702,1472499.6862375517
20190703,1482840.6720647828
20190705,1478104.821855606
