,turbulence_level,turbulence_threshold,is_above_threshold
20170103,69.67955348652801,140,False
20170104,64.31291474800436,140,False
20170105,61.07045530947062,140,False
20170106,62.748157638232726,140,False
20170109,56.43679721844735,140,False
20170110,57.39820797643874,140,False
20170111,56.08519722314398,140,False
20170112,58.58587814550605,140,False
20170113,56.36373331066392,140,False
20170117,49.77228918476655,140,False
20170118,45.582473813442974,140,False
20170119,47.10531243505456,140,False
20170120,54.79198589430587,140,False
20170123,53.568341614784345,140,False
20170124,59.92237918686975,140,False
20170125,59.01223462548994,140,False
20170126,65.71983219711268,140,False
20170127,60.81252005604565,140,False
20170130,60.07464509099751,140,False
20170131,55.7016565269566,140,False
20170201,54.96975908501709,140,False
20170202,51.36621784056861,140,False
20170203,55.72279573468555,140,False
20170206,53.708989910606576,140,False
20170207,53.02577188451245,140,False
20170208,45.07348643570219,140,False
20170209,47.558504705177185,140,False
20170210,51.22841728261538,140,False
20170213,49.76783726289182,140,False
20170214,52.65583482129085,140,False
20170215,56.705522339954435,140,False
20170216,50.053718541866495,140,False
20170217,55.54376211551697,140,False
20170221,58.74843462951189,140,False
20170222,62.769014308154496,140,False
20170223,62.98849143335455,140,False
20170224,61.41853496591203,140,False
20170227,56.39592315163293,140,False
20170228,55.74681474651261,140,False
20170301,66.03135008729731,140,False
20170302,64.88358356792199,140,False
20170303,60.719654381183965,140,False
20170306,59.65121322305973,140,False
20170307,57.90889864608864,140,False
20170308,60.19397421984814,140,False
20170309,59.852274425926105,140,False
20170310,55.32765048855849,140,False
20170313,61.973940287794505,140,False
20170314,63.618580602402524,140,False
20170315,64.49601590408136,140,False
20170316,64.05605953040508,140,False
20170317,58.03492276918015,140,False
20170320,58.23415331374196,140,False
20170321,51.04839121481378,140,False
20170322,67.14471292642251,140,False
20170323,60.069748231759434,140,False
20170324,50.90147665459276,140,False
20170327,54.919357087344025,140,False
20170328,53.92916251264908,140,False
20170329,50.278235140383494,140,False
20170330,51.74861626457629,140,False
20170331,51.33835679461802,140,False
20170403,46.903858045039705,140,False
