,turbulence_level,turbulence_threshold,is_above_threshold
20190104,113.29056955734379,140,False
20190107,116.91048287220056,140,False
20190108,107.23259621135746,140,False
20190109,102.87559713509765,140,False
20190110,98.572551562308,140,False
20190111,94.55973696104216,140,False
20190114,86.04987964472484,140,False
20190115,81.91658028540975,140,False
20190116,89.0431082024074,140,False
20190117,93.13030228231165,140,False
20190118,94.39206868778372,140,False
20190122,105.94451343001991,140,False
20190123,108.905432965786,140,False
20190124,107.71538560340693,140,False
20190125,103.90311950917123,140,False
20190128,111.66436901394265,140,False
20190129,106.81583952919088,140,False
20190130,110.48957427850435,140,False
20190131,121.48051679153319,140,False
20190201,123.29353455184432,140,False
20190204,132.80266519982573,140,False
20190205,142.02793503452537,140,True
20190206,149.88723588788915,140,True
20190207,131.90422761034466,140,False
20190208,123.85337885443226,140,False
20190211,120.80524556030376,140,False
20190212,131.37813090957002,140,False
20190213,134.36274845083162,140,False
20190214,111.25811292064543,140,False
20190215,110.92051873403338,140,False
20190219,104.63933737173184,140,False
20190220,102.45507036484744,140,False
20190221,97.9864861110692,140,False
20190222,110.55050240891735,140,False
20190225,107.81670679766847,140,False
20190226,114.23119186851824,140,False
20190227,141.38880597064954,140,True
20190228,154.63866792532386,140,True
20190301,145.70456001958897,140,True
20190304,136.2747563914994,140,False
20190305,113.72489870424695,140,False
20190306,104.12027266661259,140,False
20190307,106.15267207479934,140,False
20190308,103.73526260721201,140,False
20190311,92.37912713948226,140,False
20190312,88.75109845788685,140,False
20190313,92.54110792495035,140,False
20190314,116.2942690087308,140,False
20190315,118.44329653596449,140,False
20190318,114.13540628132696,140,False
20190319,95.8022656587434,140,False
20190320,92.10209628996547,140,False
20190321,114.03357380555204,140,False
20190322,110.85442655746105,140,False
20190325,111.77682588173708,140,False
20190326,111.7852688951071,140,False
20190327,111.42566692604031,140,False
20190328,98.77191629167076,140,False
20190329,92.95313527202318,140,False
20190401,93.5979254047555,140,False
20190402,255.07617223262454,140,True
20190403,234.82661614393376,140,True
20190404,215.91475696535477,140,True
