,turbulence_level,turbulence_threshold,is_above_threshold
20190708,85.89410722302135,140,False
20190709,91.72416559755553,140,False
20190710,88.16294787091314,140,False
20190711,99.56985286059697,140,False
20190712,108.20710295597021,140,False
20190715,104.9975819514087,140,False
20190716,96.447359074925,140,False
20190717,91.81346906192451,140,False
20190718,85.66855806806967,140,False
20190719,79.88911221893177,140,False
20190722,89.26834431586624,140,False
20190723,93.72870454175666,140,False
20190724,104.65960853098845,140,False
20190725,98.39968548849235,140,False
20190726,102.24766641647102,140,False
20190729,99.64988342795715,140,False
20190730,114.16688014367048,140,False
20190731,93.28402775362207,140,False
20190801,97.69330697269072,140,False
20190802,92.78925387358437,140,False
20190805,76.06013568399982,140,False
20190806,81.0266174410891,140,False
20190807,96.95999662004792,140,False
20190808,100.20348750152858,140,False
20190809,100.84088828244266,140,False
20190812,97.20821213160612,140,False
20190813,101.04027584396765,140,False
20190814,98.35521638981648,140,False
20190815,132.24517108742762,140,False
20190816,127.68755594740378,140,False
20190819,117.33314196736931,140,False
20190820,126.76952539198143,140,False
20190821,123.93562763908078,140,False
20190822,134.06153954221307,140,False
20190823,133.4500042054151,140,False
20190826,132.49008416301135,140,False
20190827,143.61691257503347,140,True
20190828,136.52989234344008,140,False
20190829,138.0835785484963,140,False
20190830,133.3061105131815,140,False
20190903,122.79034839383604,140,False
20190904,132.7005363685104,140,False
20190905,122.81345281064215,140,False
20190906,126.27639965499205,140,False
20190909,133.67010242415648,140,False
20190910,137.02162608637292,140,False
20190911,155.11436452982844,140,True
20190912,140.74746969408076,140,True
20190913,136.90154526251908,140,False
20190916,116.85629820327198,140,False
20190917,114.97683548882036,140,False
20190918,126.15710551486973,140,False
20190919,119.61189744727078,140,False
20190920,107.2776671555719,140,False
20190923,110.39481033652427,140,False
20190924,110.18919814803152,140,False
20190925,121.71934571830276,140,False
20190926,136.93176724061362,140,False
20190927,135.05098066806994,140,False
20190930,147.97798997565184,140,True
20191001,131.59087974449946,140,False
20191002,122.04681193271357,140,False
20191003,116.33703064441693,140,False
