,turbulence_level,turbulence_threshold,is_above_threshold
20161003,66.52645583879651,140,False
20161004,70.41002303113531,140,False
20161005,76.58515334206085,140,False
20161006,83.61145412651439,140,False
20161007,85.47634235516301,140,False
20161010,88.87472154844153,140,False
20161011,77.37242575611006,140,False
20161012,75.23028946565003,140,False
20161013,71.53397656263273,140,False
20161014,74.56391476797073,140,False
20161017,76.32060262796789,140,False
20161018,84.71770386124648,140,False
20161019,93.35564031693478,140,False
20161020,76.79305448152684,140,False
20161021,93.16502586046545,140,False
20161024,92.84382419987892,140,False
20161025,98.53333819803257,140,False
20161026,95.2863611148902,140,False
20161027,79.15822463401456,140,False
20161028,83.89915086412745,140,False
20161031,100.99492871092998,140,False
20161101,100.58870669960716,140,False
20161102,87.85333444087887,140,False
20161103,90.61874926784144,140,False
20161104,76.43720657830411,140,False
20161107,86.87200875496404,140,False
20161108,86.33853637769316,140,False
20161109,80.39012814837817,140,False
20161110,97.83944871040049,140,False
20161111,93.69166070417693,140,False
20161114,145.4531509127844,140,True
20161115,137.13786038246963,140,False
20161116,114.26923025579731,140,False
20161117,109.90469344266836,140,False
20161118,109.47562369334793,140,False
20161121,104.31912960765848,140,False
20161122,119.63137558664991,140,False
20161123,123.55374414741304,140,False
20161125,103.65076982657571,140,False
20161128,106.3948047626228,140,False
20161129,126.23344079537122,140,False
20161130,137.5261294700147,140,False
20161201,163.811334608202,140,True
20161202,139.6930724556369,140,False
20161205,120.72536189904574,140,False
20161206,123.4369416226556,140,False
20161207,121.99265482624449,140,False
20161208,130.90454312166452,140,False
20161209,115.27380871595837,140,False
20161212,100.7390136584952,140,False
20161213,99.25004091582474,140,False
20161214,102.03656994532392,140,False
20161215,98.15364045765078,140,False
20161216,109.6281742484355,140,False
20161219,101.73493524958106,140,False
20161220,98.41319033474716,140,False
20161221,96.0333037509578,140,False
20161222,94.34355855878609,140,False
20161223,91.12282819706488,140,False
20161227,86.67399093502331,140,False
20161228,84.54957469204392,140,False
20161229,79.10103383693051,140,False
20161230,76.03592273714511,140,False
