,turbulence_level,turbulence_threshold,is_above_threshold
20200106,96.3815605917967,140,False
20200107,90.95751523176308,140,False
20200108,96.246301745235,140,False
20200109,93.734021883084,140,False
20200110,97.7954768483754,140,False
20200113,105.18810973643907,140,False
20200114,100.28866824767296,140,False
20200115,103.02812553664484,140,False
20200116,101.81378723949621,140,False
20200117,113.5622355755271,140,False
20200121,127.24340821306042,140,False
20200122,132.69422753600062,140,False
20200123,128.73857609858112,140,False
20200124,155.95331224059194,140,True
20200127,131.92036363152576,140,False
20200128,142.14380563680413,140,True
20200129,145.484460072633,140,True
20200130,142.9030481586147,140,True
20200131,130.8912513836576,140,False
20200203,133.72922478129507,140,False
20200204,148.31731455484172,140,True
20200205,149.24346387234456,140,True
20200206,169.41891716528224,140,True
20200207,164.50533473068296,140,True
20200210,182.92186185624942,140,True
20200211,139.29287030995928,140,False
20200212,121.45143420249072,140,False
20200213,117.51827218075259,140,False
20200214,118.4493891099142,140,False
20200218,135.96297287744534,140,False
20200219,126.9241371493538,140,False
20200220,106.47320705324832,140,False
20200221,95.85040492560066,140,False
20200224,78.13849790122403,140,False
20200225,97.77846256548808,140,False
20200226,112.83756036332936,140,False
20200227,91.58134865532713,140,False
20200228,108.04948956726156,140,False
20200302,123.23249171581932,140,False
20200303,101.59751263831215,140,False
20200304,127.96096372471813,140,False
20200305,159.67546259334068,140,True
20200306,159.60345341391908,140,True
20200309,224.61546697154202,140,True
20200310,206.3624743164471,140,True
20200311,222.17006773649013,140,True
20200312,220.6823886678912,140,True
20200313,256.39639382390675,140,True
20200316,278.51201051456144,140,True
20200317,315.79605107541806,140,True
20200318,444.96806306962725,140,True
20200319,372.7618237791774,140,True
20200320,338.534234312604,140,True
20200323,298.33143014210685,140,True
20200324,264.25723773671797,140,True
20200325,161.39174166933114,140,True
20200326,131.54435585873122,140,False
20200327,150.60319983388413,140,True
20200330,178.40370721810604,140,True
20200331,177.83267881710748,140,True
20200401,185.09119729795398,140,True
20200402,198.7856934082432,140,True
20200403,344.46711270081926,140,True
