,turbulence_level,turbulence_threshold,is_above_threshold
20181003,112.84210597931877,140,False
20181004,102.50044158463406,140,False
20181005,104.06335456878044,140,False
20181008,105.8550732466145,140,False
20181009,123.80373615225115,140,False
20181010,106.70941879838176,140,False
20181011,82.28668941367383,140,False
20181012,88.97800251731131,140,False
20181015,85.84724485065864,140,False
20181016,90.05551228005598,140,False
20181017,114.02615864561709,140,False
20181018,119.76869856752316,140,False
20181019,140.27948653161872,140,True
20181022,136.81011823134492,140,False
20181023,177.443924954872,140,True
20181024,173.53802370780838,140,True
20181025,161.3506964874021,140,True
20181026,153.46872558989182,140,True
20181029,152.6198265315348,140,True
20181030,188.58494243197075,140,True
20181031,157.8268427174425,140,True
20181101,131.96722111235448,140,False
20181102,116.21884302551413,140,False
20181105,117.57265959665988,140,False
20181106,115.96771482258907,140,False
20181107,104.27101700985092,140,False
20181108,103.55377036268595,140,False
20181109,112.81548914606363,140,False
20181112,134.26590286472512,140,False
20181113,135.15180518890085,140,False
20181114,126.46936775052929,140,False
20181115,139.1111626879414,140,False
20181116,139.23322991654672,140,False
20181119,165.4861758215096,140,True
20181120,152.29718539185967,140,True
20181121,134.43310462711725,140,False
20181123,138.6340096854286,140,False
20181126,148.69916240541824,140,True
20181127,154.5688533045196,140,True
20181128,141.80468539971324,140,True
20181129,149.65340400359835,140,True
20181130,140.6574334225941,140,True
20181203,125.40886652924792,140,False
20181204,113.20909080263912,140,False
20181206,112.74069664863796,140,False
20181207,98.1892304267812,140,False
20181210,99.88648574757786,140,False
20181211,102.48666332650335,140,False
20181212,101.74743835887112,140,False
20181213,113.53166743110852,140,False
20181214,140.5396068815213,140,True
20181217,124.32150265122135,140,False
20181218,101.71366356873926,140,False
20181219,110.70709461079336,140,False
20181220,105.57130558467578,140,False
20181221,96.89968816944892,140,False
20181224,91.04563180130708,140,False
20181226,96.17035324072893,140,False
20181227,111.78680399550586,140,False
20181228,106.88492656346344,140,False
20181231,104.75284921186831,140,False
20190102,102.45251027453371,140,False
20190103,108.66625590891054,140,False
