datadate,account_values
20170103,1195258.6635720783
20170104,1197297.4322474173
20170105,1191655.2948602831
20170106,1196422.963923198
20170109,1191319.3745692025
20170110,1191840.0933650904
20170111,1200909.0147685176
20170112,1195707.8685390414
20170113,1196203.846041913
20170117,1185827.5602572688
20170118,1183449.6020152376
20170119,1176510.7542462673
20170120,1181988.3791526142
20170123,1183264.5996763597
20170124,1191781.1911728084
20170125,1202690.695151702
20170126,1204788.0476888984
20170127,1206916.0013182021
20170130,1197841.1599844361
20170131,1187658.669959834
20170201,1189881.145869825
20170202,1189148.8168139367
20170203,1208616.4374249694
20170206,1207116.4123745863
20170207,1208928.7186998238
20170208,1205884.4501587732
20170209,1213811.5018506986
20170210,1219662.42269571
20170213,1231925.2929153373
20170214,1240766.4492435623
20170215,1246004.9610596148
20170216,1246958.8943482572
20170217,1251495.378988173
20170221,1257303.3625007286
20170222,1257446.4141313557
20170223,1254511.7250061738
20170224,1252304.88575864
20170227,1256846.4648927473
20170228,1254138.2314660077
20170301,1273767.6585205116
20170302,1261191.1941642214
20170303,1264881.7955393807
20170306,1261666.8405641005
20170307,1259023.054016415
20170308,1251981.2102549046
20170309,1249092.9918543804
20170310,1249658.8407818147
20170313,1247023.1347494395
20170314,1245023.8070441773
20170315,1249211.539574813
20170316,1250767.6477856543
20170317,1244918.2984133956
20170320,1244145.7469976733
20170321,1220937.1471942174
20170322,1220253.3148449566
20170323,1220498.2514398203
20170324,1216449.1890369535
20170327,1211461.3998688706
20170328,1223305.069517489
20170329,1221694.4423598985
20170330,1226908.4565255628
20170331,1222573.5658020705
20170403,1219591.4375944266
