,turbulence_level,turbulence_threshold,is_above_threshold
20170705,82.10816041713879,140,False
20170706,85.21872328300509,140,False
20170707,89.6935079917799,140,False
20170710,81.04896355649791,140,False
20170711,75.15718691013686,140,False
20170712,65.59100757019327,140,False
20170713,63.70680424979489,140,False
20170714,64.55026863432508,140,False
20170717,60.96729410146626,140,False
20170718,64.4839483302279,140,False
20170719,65.33877457127457,140,False
20170720,86.37883096597099,140,False
20170721,94.10192636490356,140,False
20170724,109.56480138208003,140,False
20170725,123.67610240117668,140,False
20170726,155.57848702133023,140,True
20170727,174.57953298892517,140,True
20170728,156.94219561593917,140,True
20170731,145.26379067693227,140,True
20170801,129.84267521540866,140,False
20170802,108.56255969629382,140,False
20170803,102.51953736057213,140,False
20170804,91.6389208339606,140,False
20170807,104.1185862406,140,False
20170808,96.93946995657095,140,False
20170809,90.31176911939262,140,False
20170810,82.39989169082926,140,False
20170811,80.01693519733655,140,False
20170814,86.77703461921331,140,False
20170815,97.37093573079487,140,False
20170816,83.60069254415072,140,False
20170817,82.47056155671018,140,False
20170818,93.73428461231224,140,False
20170821,98.23524428865385,140,False
20170822,98.99635657500308,140,False
20170823,90.5311660567635,140,False
20170824,89.67427236948704,140,False
20170825,83.8201020906293,140,False
20170828,89.23205276532192,140,False
20170829,87.53682203702823,140,False
20170830,87.03748712302122,140,False
20170831,87.42815708523192,140,False
20170901,93.86178330035943,140,False
20170905,131.62735465654018,140,False
20170906,128.55577956712028,140,False
20170907,161.4671052460167,140,True
20170908,148.61022004542124,140,True
20170911,133.83324174139125,140,False
20170912,141.7589021727469,140,True
20170913,136.08578040568725,140,False
20170914,131.84471673556624,140,False
20170915,118.32374828278313,140,False
20170918,120.8502720668679,140,False
20170919,114.11657435256659,140,False
20170920,106.84840767396491,140,False
20170921,108.1742599505343,140,False
20170922,108.59117833259693,140,False
20170925,107.06468878300508,140,False
20170926,100.42186895452892,140,False
20170927,87.92365854241443,140,False
20170928,93.63232311454979,140,False
20170929,96.61497366489195,140,False
20171002,91.47429265124106,140,False
