datadate,account_values
20171003,1252054.2547234476
20171004,1253801.0756982318
20171005,1261211.9561897768
20171006,1259061.8717120471
20171009,1257780.3293716346
20171010,1262626.898953831
20171011,1263208.0091713152
20171012,1263610.2276812028
20171013,1263549.0706722492
20171016,1268817.8776257953
20171017,1266833.5060596515
20171018,1270211.4388880807
20171019,1275155.2698768303
20171020,1287783.6414280848
20171023,1287628.6270453744
20171024,1311146.0317578777
20171025,1310526.107873999
20171026,1307062.7764951196
20171027,1314545.8258827883
20171030,1313231.280056906
20171031,1313231.280056906
20171101,1313859.8441818198
20171102,1315583.7537784383
20171103,1314476.266550119
20171106,1314123.3405657364
20171107,1313022.706662672
20171108,1312005.849219393
20171109,1306901.92563102
20171110,1307162.1712040582
20171113,1307179.0474159934
20171114,1307517.5833331493
20171115,1301435.7848119661
20171116,1307143.408691776
20171117,1305836.2652830842
20171120,1306509.7147132482
20171121,1308797.2288385874
20171122,1306087.2213770733
20171124,1305353.3663841179
20171127,1307023.294431214
20171128,1323346.5775465122
20171129,1331643.9727602215
20171130,1354148.8369485366
20171201,1350182.0010669832
20171204,1359704.0103200043
20171205,1348410.0951837134
20171206,1346757.5821767396
20171207,1353298.933833729
20171208,1360415.7182287406
20171211,1363274.9641956824
20171212,1373093.3739807245
20171213,1378596.5203316978
20171214,1375249.4643218643
20171215,1386676.7791527128
20171218,1396492.8995378588
20171219,1395514.896204316
20171220,1393758.828931588
20171221,1397767.7298200913
20171222,1395279.492493118
20171226,1396572.901920768
20171227,1396809.091334998
20171228,1399747.3214800325
20171229,1394191.8637573614
20180102,1400467.0667069922
