datadate,account_values
20161003,1148995.6508127965
20161004,1140114.492939189
20161005,1147197.1040546943
20161006,1145636.3651530934
20161007,1141115.68943535
20161010,1140344.7892390017
20161011,1127121.7880771472
20161012,1128505.2095435532
20161013,1127501.8872293392
20161014,1130223.5015716925
20161017,1125471.3760201153
20161018,1128060.0464507204
20161019,1127700.2974004988
20161020,1133520.9473362826
20161021,1137982.4250550305
20161024,1148209.1732751727
20161025,1134654.9974873476
20161026,1135424.071787646
20161027,1131703.6088352925
20161028,1131716.2124177697
20161031,1128692.2488208998
20161101,1122038.484810231
20161102,1119521.2311423325
20161103,1119836.0626403126
20161104,1117807.1841726718
20161107,1138891.449269465
20161108,1140813.1846785503
20161109,1155008.839624952
20161110,1165399.6234420121
20161111,1172385.3686190888
20161114,1170165.8564822988
20161115,1168995.6906258164
20161116,1168528.379330587
20161117,1168887.392536108
20161118,1167849.1272339777
20161121,1170280.2610461584
20161122,1171126.7059309469
20161123,1173912.8544962034
20161125,1177923.5829762514
20161128,1175501.6078469777
20161129,1172487.6214392474
20161130,1175200.3146617438
20161201,1178232.1438332282
20161202,1177053.9116893949
20161205,1177567.7872285487
20161206,1177622.9851475405
20161207,1184845.1296668923
20161208,1185339.8175660823
20161209,1191547.3208472105
20161212,1195558.6099258184
20161213,1200824.0779750233
20161214,1190064.3786038964
20161215,1193083.9470188308
20161216,1193613.5866930387
20161219,1197160.524441915
20161220,1201770.4732931969
20161221,1201163.1279550171
20161222,1199975.9319714443
20161223,1198620.0427989587
20161227,1198950.3083161213
20161228,1191720.3758549213
20161229,1190412.293639817
20161230,1187396.5955337975
