datadate,account_values
20170705,1266965.232379642
20170706,1256071.880731043
20170707,1259017.651577804
20170710,1259816.8890245948
20170711,1258989.121158931
20170712,1268081.0826330043
20170713,1273418.176949214
20170714,1275458.8792909728
20170717,1277701.8470582033
20170718,1272447.600335309
20170719,1272813.4929087474
20170720,1261632.6413037751
20170721,1261024.6874851654
20170724,1250207.6823344629
20170725,1257669.812282245
20170726,1256875.769412894
20170727,1255618.8936434814
20170728,1255618.8936434814
20170731,1255618.8936434814
20170801,1255618.8936434814
20170802,1256504.0050014174
20170803,1256027.9998670039
20170804,1257306.2501700344
20170807,1258821.9216437817
20170808,1256864.1232201392
20170809,1255489.7645192693
20170810,1245121.6674253226
20170811,1249552.4198052736
20170814,1257270.0171548747
20170815,1255687.0865708692
20170816,1259257.7283799388
20170817,1244555.8144640527
20170818,1238265.1823289054
20170821,1241853.2361868378
20170822,1252582.2456398965
20170823,1244615.2030881953
20170824,1241230.2473800657
20170825,1240818.8122218736
20170828,1243086.1977164461
20170829,1244276.9544199598
20170830,1243926.8240084182
20170831,1245953.6735333046
20170901,1246521.5838092798
20170905,1239818.5382964867
20170906,1243069.8353672281
20170907,1249201.392209068
20170908,1247952.190816859
20170911,1247952.190816859
20170912,1248169.150916169
20170913,1247974.6498603637
20170914,1248602.7083767152
20170915,1249886.9186749451
20170918,1250575.3904781255
20170919,1250994.608988177
20170920,1250127.6938918673
20170921,1246504.842577736
20170922,1245889.835944369
20170925,1239875.128949773
20170926,1237213.4361092192
20170927,1236998.365853472
20170928,1239844.5486660092
20170929,1240619.4853299968
20171002,1247798.434411579
