datadate,account_values
20190708,1470462.6784327554
20190709,1466438.391886728
20190710,1471943.055241883
20190711,1480519.3041163553
20190712,1494589.3592853965
20190715,1496788.6644373583
20190716,1496945.843484295
20190717,1483522.872014817
20190718,1483930.3216958374
20190719,1471083.4372543257
20190722,1480200.351840405
20190723,1494476.799661387
20190724,1501092.1576811294
20190725,1499233.3905011564
20190726,1494490.5584981234
20190729,1503661.372496689
20190730,1496943.6106170784
20190731,1472424.5164339412
20190801,1460906.4245615904
20190802,1451086.3383915771
20190805,1409177.4114133897
20190806,1424772.2002940776
20190807,1418744.1359022532
20190808,1438736.0512511209
20190809,1434691.1860441559
20190812,1414433.8783889527
20190813,1436881.9793576982
20190814,1392447.8502359507
20190815,1388864.6421511003
20190816,1413199.7586022536
20190819,1423464.1642219638
20190820,1407814.6204045766
20190821,1417738.801841275
20190822,1417269.4967804675
20190823,1372674.1114694083
20190826,1388712.8377143177
20190827,1385659.4781749812
20190828,1384273.818696806
20190829,1385906.3224430792
20190830,1385981.455246136
20190903,1382782.5817486814
20190904,1389812.1688943827
20190905,1400926.7465427262
20190906,1402764.2050277712
20190909,1402618.5851993768
20190910,1397039.1600372142
20190911,1402871.101859489
20190912,1401585.1471539468
20190913,1401585.1471539468
20190916,1400068.9541112299
20190917,1400183.8254731926
20190918,1399628.839622027
20190919,1397785.8893022165
20190920,1390851.659119404
20190923,1393914.1677737215
20190924,1386889.7221912236
20190925,1396305.3100698877
20190926,1398809.911315896
20190927,1395293.3968208362
20190930,1397530.6172619783
20191001,1396133.0866447163
20191002,1393275.4175893934
20191003,1393925.9429552944
