datadate,account_values
20181003,1487310.1640217532
20181004,1468834.782138865
20181005,1457798.1620383798
20181008,1465366.4676743434
20181009,1457950.885315705
20181010,1415337.962350898
20181011,1382380.0146978097
20181012,1394155.4240655582
20181015,1387716.5880167158
20181016,1413330.2177611252
20181017,1389043.962074799
20181018,1367067.6761371573
20181019,1364662.3598057795
20181022,1363297.6974459733
20181023,1360882.0920595352
20181024,1360667.7274189717
20181025,1360667.7274189717
20181026,1360667.7274189717
20181029,1360667.7274189717
20181030,1360667.7274189717
20181031,1360667.7274189717
20181101,1360667.7274189717
20181102,1359100.6064690766
20181105,1361674.845736403
20181106,1365192.7311108406
20181107,1384314.553591789
20181108,1381566.2652908592
20181109,1366409.4036937994
20181112,1329995.822716445
20181113,1325268.503831985
20181114,1314123.8042778415
20181115,1327802.7207836884
20181116,1328839.1059149117
20181119,1304734.0031607482
20181120,1303429.2691575876
20181121,1303429.2691575876
20181123,1300961.9222466962
20181126,1307602.9253610075
20181127,1307185.9379010617
20181128,1307185.9379010617
20181129,1307185.9379010617
20181130,1307185.9379010617
20181203,1307185.9379010617
20181204,1299424.7040180736
20181206,1298157.0601197835
20181207,1283745.7841224843
20181210,1283369.4435104232
20181211,1279475.0588881609
20181212,1287269.6895098232
20181213,1288232.211180184
20181214,1263795.784440313
20181217,1262531.9886558729
20181218,1262910.2854071474
20181219,1257202.9810375106
20181220,1247309.3386624726
20181221,1231749.9761257188
20181224,1206997.2845853649
20181226,1264037.2963690434
20181227,1279499.9946437438
20181228,1274128.6092196926
20181231,1287153.3293724847
20190102,1293686.8675314896
20190103,1253344.1250543895
