,turbulence_level,turbulence_threshold,is_above_threshold
20190405,198.9864117138619,140,True
20190408,191.01036022800577,140,True
20190409,166.49578129101403,140,True
20190410,160.60049382957033,140,True
20190411,164.302659323596,140,True
20190412,254.23505757167683,140,True
20190415,223.97498729564208,140,True
20190416,225.1810938784362,140,True
20190417,274.4280060116357,140,True
20190418,231.60272852623203,140,True
20190422,219.8800341706899,140,True
20190423,206.13967327024682,140,True
20190424,191.382791964632,140,True
20190425,243.12318589358193,140,True
20190426,245.81947181128396,140,True
20190429,233.41448630134903,140,True
20190430,211.49053669439945,140,True
20190501,201.8167313406295,140,True
20190502,176.68822859120385,140,True
20190503,177.6398189979173,140,True
20190506,174.23844476429505,140,True
20190507,162.11854754586182,140,True
20190508,160.16798624163118,140,True
20190509,160.11864075667222,140,True
20190510,168.25185265799425,140,True
20190513,163.6189922952616,140,True
20190514,162.51550666575568,140,True
20190515,165.11655659760038,140,True
20190516,172.84523130664869,140,True
20190517,168.42037507763513,140,True
20190520,178.2147154301761,140,True
20190521,159.62885032379992,140,True
20190522,153.60637633446532,140,True
20190523,137.3007765156889,140,False
20190524,133.3680206026582,140,False
20190528,131.4329377714455,140,False
20190529,132.94773097628234,140,False
20190530,136.24994380704328,140,False
20190531,142.5451812007665,140,True
20190603,117.50303169140928,140,False
20190604,105.67148322254495,140,False
20190605,111.91985885285759,140,False
20190606,108.75343029169498,140,False
20190607,115.49360971714368,140,False
20190610,124.91968876558448,140,False
20190611,115.0663091343865,140,False
20190612,110.03258004285485,140,False
20190613,109.875319975952,140,False
20190614,110.0924239796406,140,False
20190617,113.99912885898806,140,False
20190618,104.53928539200012,140,False
20190619,113.04924253390352,140,False
20190620,112.21310506070769,140,False
20190621,106.5524611694772,140,False
20190624,105.67519210907065,140,False
20190625,98.37505579054256,140,False
20190626,91.6549108636994,140,False
20190627,87.36050947610164,140,False
20190628,82.6566368547932,140,False
20190701,89.31303859079478,140,False
20190702,83.16358853305809,140,False
20190703,84.14778106831369,140,False
20190705,78.03888785937633,140,False
