datadate,account_values
20180103,1402873.5344729165
20180104,1409297.2658436138
20180105,1418882.8605925026
20180108,1416522.8608382493
20180109,1421235.8507031687
20180110,1418127.55548479
20180111,1427869.8459586222
20180112,1426441.9761126635
20180116,1426441.9761126635
20180117,1426441.9761126635
20180118,1426441.9761126635
20180119,1426441.9761126635
20180122,1426441.9761126635
20180123,1426546.8552308595
20180124,1426337.9588589056
20180125,1426337.9588589056
20180126,1426337.9588589056
20180129,1424934.009350739
20180130,1419032.0591586863
20180131,1418808.4898289214
20180201,1418181.6454531099
20180202,1418181.6454531099
20180205,1418181.6454531099
20180206,1421328.8642555685
20180207,1420249.0750916945
20180208,1419906.669966757
20180209,1422401.0260857735
20180212,1427564.7141011518
20180213,1429581.4834379228
20180214,1438719.9954888262
20180215,1446372.8821422537
20180216,1448008.5309853826
20180220,1437675.0944636415
20180221,1429802.2316905905
20180222,1439886.2781029842
20180223,1461782.6992885359
20180226,1489957.1656753852
20180227,1468654.454416266
20180228,1441017.0326145
20180301,1439576.0155818854
20180302,1439247.198860854
20180305,1443522.0310976428
20180306,1445867.3626362043
20180307,1442452.6434910125
20180308,1444890.7161141871
20180309,1462656.0103874416
20180312,1455354.1855961988
20180313,1444235.0306426794
20180314,1432329.965768297
20180315,1440667.7875246222
20180316,1444804.1211957536
20180319,1423080.2324452568
20180320,1429731.3527163682
20180321,1427555.2242551022
20180322,1382529.0068006297
20180323,1353567.8443779992
20180326,1396392.701808696
20180327,1374394.8978514995
20180328,1374311.0300354608
20180329,1387290.409816978
20180402,1359738.304978907
20180403,1383438.7497261367
20180404,1398814.0788642846
