datadate,account_values
20180405,1409524.1970529766
20180406,1376575.5797382218
20180409,1377745.8747202689
20180410,1402462.5600484847
20180411,1389254.6299651754
20180412,1406308.8512566432
20180413,1399671.6918244427
20180416,1410467.3547913497
20180417,1418887.7828735658
20180418,1419991.6148160847
20180419,1421908.9991723564
20180420,1411360.2176736777
20180423,1408829.7084580527
20180424,1375593.4062636541
20180425,1374217.8128573904
20180426,1375763.9262237023
20180427,1375562.0101858606
20180430,1375562.0101858606
20180501,1375562.0101858606
20180502,1373703.4447797572
20180503,1372159.0628824756
20180504,1378934.3715018928
20180507,1383258.5787731246
20180508,1384891.1993430825
20180509,1395651.4315251233
20180510,1406518.0296540486
20180511,1410459.9812453988
20180514,1413591.728543029
20180515,1402013.0142450396
20180516,1403887.9006147322
20180517,1401371.9113649947
20180518,1398774.5727977313
20180521,1415116.9355749285
20180522,1409181.8854714988
20180523,1409589.3566181508
20180524,1405672.650306391
20180525,1401704.8303920988
20180529,1375375.2140232974
20180530,1393007.6684488268
20180531,1378920.4295281502
20180601,1391715.1056327343
20180604,1400161.7579822377
20180605,1398385.8944875845
20180606,1415438.6839556345
20180607,1421226.8033993996
20180608,1427538.5430427094
20180611,1427146.510506238
20180612,1425183.8075146156
20180613,1421156.7086406644
20180614,1419868.4306359873
20180615,1416971.984401919
20180618,1410016.5759181716
20180619,1394500.917565648
20180620,1391976.9698620026
20180621,1381612.4513704462
20180622,1383562.2765080633
20180625,1368997.2259697132
20180626,1368990.0053152174
20180627,1357903.0330126935
20180628,1368783.0540074073
20180629,1373448.0490903084
20180702,1376506.3626835297
20180703,1366932.5077603846
