datadate,account_values
20170404,1223173.260642941
20170405,1218234.8111436744
20170406,1223238.427263928
20170407,1220599.2244999118
20170410,1224450.3471437094
20170411,1221390.252274638
20170412,1212786.1991245565
20170413,1201607.5353417115
20170417,1213531.9364845054
20170418,1196162.7332194697
20170419,1190341.2917787852
20170420,1212253.9386792372
20170421,1210357.1010518344
20170424,1230738.6048234245
20170425,1244161.9219633967
20170426,1244364.5199000067
20170427,1244120.1791021908
20170428,1238757.3455938315
20170501,1241205.8744478114
20170502,1244982.791040666
20170503,1244116.3276325422
20170504,1244040.4015627904
20170505,1246953.0195354219
20170508,1246616.8891035484
20170509,1243950.422236149
20170510,1246534.4904137072
20170511,1241519.250881132
20170512,1237695.812140948
20170515,1246528.7742130882
20170516,1249994.6545756788
20170517,1217203.206222191
20170518,1215603.5053841148
20170519,1218258.8291950105
20170522,1224224.3481302883
20170523,1231084.243225581
20170524,1240052.3888602296
20170525,1244336.736103686
20170526,1245690.7821555855
20170530,1237742.5861525908
20170531,1224947.3031318798
20170601,1238937.952711077
20170602,1242690.5449239842
20170605,1245118.9829646307
20170606,1245131.3308018965
20170607,1248418.0037640715
20170608,1249717.595544528
20170609,1251366.3920047986
20170612,1246995.9837584223
20170613,1255288.2056818586
20170614,1261979.1585378735
20170615,1255508.336241574
20170616,1255865.6098755628
20170619,1269963.8071755515
20170620,1267893.215489638
20170621,1261003.7813538564
20170622,1254989.3140435533
20170623,1251155.3713578116
20170626,1258144.1975588475
20170627,1251969.7018077692
20170628,1264197.9268308487
20170629,1256316.1159305125
20170630,1256278.989191907
20170703,1266202.879279133
