,turbulence_level,turbulence_threshold,is_above_threshold
20200406,302.64314168220267,140,True
20200407,260.4210827782564,140,True
20200408,234.45852752240168,140,True
20200409,193.91546724622853,140,True
20200413,201.65491089542198,140,True
20200414,215.10538594478507,140,True
20200415,240.3441012496121,140,True
20200416,302.63836311591774,140,True
20200417,238.12362139936985,140,True
20200420,223.36455975277542,140,True
20200421,192.76130287529503,140,True
20200422,206.12505162876653,140,True
20200423,188.66144152893443,140,True
20200424,192.3802835268026,140,True
20200427,173.53987432423352,140,True
20200428,149.8857026931696,140,True
20200429,146.58824464911243,140,True
20200430,155.77604600633458,140,True
20200501,149.17888342705982,140,True
20200504,166.66279631143732,140,True
20200505,169.02970147695532,140,True
20200506,172.88966088324497,140,True
20200507,171.47399798699303,140,True
20200508,168.0521803753531,140,True
20200511,173.55592197551732,140,True
20200512,157.15825623927134,140,True
20200513,158.49357699803474,140,True
20200514,149.2903471502365,140,True
20200515,164.11690445120485,140,True
20200518,151.5772358336333,140,True
20200519,136.5865308950483,140,False
20200520,143.2525723448839,140,True
20200521,116.54458086321104,140,False
20200522,109.78028439197323,140,False
20200526,100.9471766951588,140,False
20200527,106.17955294085027,140,False
20200528,87.73383658585308,140,False
20200529,91.45665853845912,140,False
20200601,97.20727217678755,140,False
20200602,104.46351767424268,140,False
20200603,102.35855708935895,140,False
20200604,88.69003728742057,140,False
20200605,101.40854784830948,140,False
20200608,111.46043941497602,140,False
20200609,125.23010214135252,140,False
20200610,127.37556933247265,140,False
20200611,110.43016527049019,140,False
20200612,119.55100354320658,140,False
20200615,128.23977757265973,140,False
20200616,144.53894746563998,140,True
20200617,137.83834305885748,140,False
20200618,147.4544733981717,140,True
20200619,139.84351705282623,140,False
20200622,148.7372729611874,140,True
20200623,149.0387130243164,140,True
20200624,136.30183586973502,140,False
20200625,153.23657174319948,140,True
20200626,140.14989717133042,140,True
20200629,150.08137289981389,140,True
20200630,148.8034262383576,140,True
20200701,141.1177588085472,140,True
20200702,142.80863469675973,140,True
20200706,152.90717260774915,140,True
