,turbulence_level,turbulence_threshold,is_above_threshold
20191004,120.78083648113986,140,False
20191007,115.32253495317215,140,False
20191008,112.32806192156224,140,False
20191009,103.59200592890801,140,False
20191010,109.74157937788851,140,False
20191011,117.04207237559669,140,False
20191014,115.17305161247955,140,False
20191015,107.84431786868113,140,False
20191016,105.63483818706165,140,False
20191017,110.30051567156788,140,False
20191018,127.75813516560505,140,False
20191021,157.65401418269198,140,True
20191022,188.6151747458516,140,True
20191023,155.24671116988284,140,True
20191024,150.03917332811469,140,True
20191025,164.07081673485217,140,True
20191028,165.01644617040859,140,True
20191029,143.67314778704437,140,True
20191030,138.91062664984221,140,False
20191031,128.356560025981,140,False
20191101,139.28867873267023,140,False
20191104,133.69670747387553,140,False
20191105,117.1820507264478,140,False
20191106,110.97235452509159,140,False
20191107,102.20763466752511,140,False
20191108,102.91986754332385,140,False
20191111,99.36612581997723,140,False
20191112,92.84406640793316,140,False
20191113,98.69024942727869,140,False
20191114,105.06039474753972,140,False
20191115,105.59293213492849,140,False
20191118,111.39225983699436,140,False
20191119,120.32042947250595,140,False
20191120,120.75389946331534,140,False
20191121,125.4128468543345,140,False
20191122,125.66055585608594,140,False
20191125,123.10110926346977,140,False
20191126,119.91523973732912,140,False
20191127,109.29412601073356,140,False
20191129,112.29627913102736,140,False
20191202,119.27379222329014,140,False
20191203,117.04318600683862,140,False
20191204,122.29965604353346,140,False
20191205,136.59061744370504,140,False
20191206,129.95451501802438,140,False
20191209,113.38543976309168,140,False
20191210,111.2054553876527,140,False
20191211,118.4111006462013,140,False
20191212,125.89962433867944,140,False
20191213,117.23785103411717,140,False
20191216,132.59545918273997,140,False
20191217,127.75061650566394,140,False
20191218,122.83020515168579,140,False
20191219,111.3918879348696,140,False
20191220,105.79761177025385,140,False
20191223,102.12922004888395,140,False
20191224,99.45561797510405,140,False
20191226,105.1544535289103,140,False
20191227,105.20872227101164,140,False
20191230,108.68025076785648,140,False
20191231,105.568644569493,140,False
20200102,109.4269795612672,140,False
20200103,100.33446860580023,140,False
