datadate,account_values
20160104,1000000.0
20160105,999915.5791008102
20160106,994620.0152076208
20160107,983516.9139372938
20160108,977157.5773336333
20160111,978131.6999318933
20160112,984403.2543277815
20160113,964179.3954894479
20160114,977652.0852602582
20160115,956598.1744762037
20160119,953639.0355941256
20160120,935635.668205374
20160121,942915.2561446542
20160122,958014.3578072233
20160125,942407.9206502768
20160126,956944.31561063
20160127,947864.0861122288
20160128,956136.0907961885
20160129,977635.7985023236
20160201,976658.1627038211
20160202,974613.0889336439
20160203,974446.8185826087
20160204,974446.8185826087
20160205,974446.8185826087
20160208,974446.8185826087
20160209,974446.8185826087
20160210,974446.8185826087
20160211,972087.5823935897
20160212,978969.654656716
20160216,984432.2060836591
20160217,995220.94689254
20160218,994030.7464463953
20160219,993974.1006534813
20160222,1008233.8645027297
20160223,996250.9095451118
20160224,1000494.353307929
20160225,1013952.2720921909
20160226,1009988.2807429441
20160229,1000494.5134015396
20160301,1023676.9980392192
20160302,1026373.861734358
20160303,1031241.0105084957
20160304,1034592.0226351126
20160307,1039169.978430159
20160308,1030323.6144400827
20160309,1038209.7751974693
20160310,1036897.8913658267
20160311,1055235.224356564
20160314,1053311.819654759
20160315,1054122.118947844
20160316,1062004.9108274966
20160317,1073344.855628175
20160318,1079071.6656242236
20160321,1080828.5734621424
20160322,1077926.0750204306
20160323,1070072.1787451783
20160324,1075476.5893022534
20160328,1078391.6064590649
20160329,1080234.2889397105
20160330,1084138.726911199
20160331,1085298.1978758504
20160401,1093128.6345878271
20160404,1089546.93503035
