datadate,account_values
20190104,1299710.0972229608
20190107,1305529.5645405338
20190108,1317541.5483071604
20190109,1323446.8870912998
20190110,1326361.4703271242
20190111,1324259.3410161578
20190114,1316119.7117469145
20190115,1320445.965637957
20190116,1327002.6453159866
20190117,1336233.906281632
20190118,1352839.6276853092
20190122,1331069.512075725
20190123,1331037.3888171734
20190124,1328052.2097433603
20190125,1347714.4744778564
20190128,1322812.0990014488
20190129,1325000.921462956
20190130,1358090.5319786961
20190131,1356611.7666667611
20190201,1361811.023765581
20190204,1372324.0002897114
20190205,1383187.0638267195
20190206,1381803.8767628928
20190207,1381803.8767628928
20190208,1381144.086762893
20190211,1379547.805762893
20190212,1386058.2477628933
20190213,1388938.4697628932
20190214,1388490.933762893
20190215,1401208.4567628931
20190219,1401354.8347628932
20190220,1398816.169762893
20190221,1395418.6637628933
20190222,1406745.1567226984
20190225,1403237.1245660796
20190226,1401156.576890279
20190227,1385537.7400699437
20190228,1384152.2023298736
20190301,1384152.2023298736
20190304,1384152.2023298736
20190305,1384478.1683298734
20190306,1383143.6563298735
20190307,1379022.7353298734
20190308,1378572.1373298736
20190311,1391931.6143298736
20190312,1398102.3893298735
20190313,1404731.1103298734
20190314,1406919.8623298735
20190315,1412625.9773298735
20190318,1420552.8553422503
20190319,1422254.9328517898
20190320,1414604.5092996901
20190321,1436392.9766778625
20190322,1416187.1288739888
20190325,1412795.6182023562
20190326,1412931.5722922655
20190327,1410519.3656293305
20190328,1411883.6079953273
20190329,1424064.1158375014
20190401,1432169.9959915977
20190402,1432214.7203030067
20190403,1430782.5055827035
20190404,1430782.5055827035
